Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant Price,Variant Compare At Price,Variant Inventory Qty,Image Src,SEO Title,SEO Description
victorian-clockwork-automaton,Victorian Clockwork Automaton,"<p>A stunning Victorian-era automaton design featuring intricate gears and brass mechanisms</p>",RoboInk,Tee Shirts,"robots, tee-shirts, steampunk, victorian, featured",TRUE,Size,Default,35.99,,100,https://images.pexels.com/photos/6311387/pexels-photo-6311387.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Victorian Clockwork Automaton - Steampunk T-Shirt,A stunning Victorian-era automaton design featuring intricate gears and brass mechanisms on a premium quality t-shirt
brass-gear-engineer,Brass Gear Engineer,"<p>Showcase your engineering spirit with this detailed brass gear robot design</p>",RoboInk,Tee Shirts,"robots, tee-shirts, steampunk, engineering, brass",TRUE,Size,Default,39.99,,100,https://images.pexels.com/photos/6045031/pexels-photo-6045031.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Brass Gear Engineer - Steampunk Robot T-Shirt,Showcase your engineering spirit with this detailed brass gear robot design on a high-quality t-shirt
steam-powered-sentinel,Steam-Powered Sentinel,"<p>A powerful steam-powered sentinel robot design for the modern steampunk enthusiast</p>",RoboInk,Tee Shirts,"robots, tee-shirts, steampunk, steam-powered",TRUE,Size,Default,34.99,,100,https://images.pexels.com/photos/6045028/pexels-photo-6045028.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Steam-Powered Sentinel - Robot T-Shirt,A powerful steam-powered sentinel robot design for the modern steampunk enthusiast
steampunk-airship-navigator,Steampunk Airship Navigator,"<p>Navigate the skies in style with this airship-themed hoodie</p>",RoboInk,Hoodies,"vehicles, hoodies, steampunk, airship, featured",TRUE,Size,Default,42.99,,100,https://images.pexels.com/photos/6045028/pexels-photo-6045028.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Steampunk Airship Navigator Hoodie,Navigate the skies in style with this airship-themed steampunk hoodie
brass-submarine-explorer,Brass Submarine Explorer,"<p>Explore the depths with this brass submarine-themed hoodie featuring intricate steampunk design</p>",RoboInk,Hoodies,"vehicles, hoodies, steampunk, submarine, brass",TRUE,Size,Default,47.99,,100,https://images.pexels.com/photos/6045242/pexels-photo-6045242.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Brass Submarine Explorer Hoodie,Explore the depths with this brass submarine-themed steampunk hoodie
mechanical-owl-companion,Mechanical Owl Companion,"<p>Enjoy your morning brew with this wise mechanical owl companion</p>",RoboInk,Mugs,"clockwork-creatures, mugs, steampunk, owl, mechanical",TRUE,Size,Default,37.99,,100,https://images.pexels.com/photos/6045215/pexels-photo-6045215.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Mechanical Owl Companion Mug,Enjoy your morning brew with this wise mechanical owl companion ceramic mug
brass-dragon-mug,Brass Dragon Mug,"<p>Sip your favorite beverage from this magnificent brass dragon-themed mug</p>",RoboInk,Mugs,"clockwork-creatures, mugs, steampunk, dragon, brass",TRUE,Size,Default,19.99,,100,https://images.pexels.com/photos/6045031/pexels-photo-6045031.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Brass Dragon Steampunk Mug,Sip your favorite beverage from this magnificent brass dragon-themed ceramic mug
steam-engine-typography,Steam Engine Typography,"<p>Inspiring steampunk quotes rendered in Victorian typography</p>",RoboInk,Posters,"typographic-treasures, posters, steampunk, typography, victorian",TRUE,Size,Default,34.99,,100,https://images.pexels.com/photos/6045020/pexels-photo-6045020.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Steam Engine Typography Poster,Inspiring steampunk quotes rendered in Victorian typography art poster
cogwheel-wisdom,Cogwheel Wisdom,"<p>Wisdom and inspiration meet mechanical design in this typographic poster</p>",RoboInk,Posters,"typographic-treasures, posters, steampunk, typography, cogwheel",TRUE,Size,Default,29.99,,100,https://images.pexels.com/photos/6045241/pexels-photo-6045241.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Cogwheel Wisdom Typography Poster,Wisdom and inspiration meet mechanical design in this steampunk typographic poster
retro-future-vision,Retro Future Vision,"<p>Carry your essentials in this retro-futuristic designed tote</p>",RoboInk,Tote Bags,"retro-futurism, tote-bags, steampunk, retro, futuristic",TRUE,Size,Default,41.99,,100,https://images.pexels.com/photos/6045242/pexels-photo-6045242.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Retro Future Vision Tote Bag,Carry your essentials in this retro-futuristic designed steampunk tote bag
neo-victorian-carryall,Neo-Victorian Carryall,"<p>A perfect blend of Victorian elegance and modern functionality in this tote bag</p>",RoboInk,Tote Bags,"retro-futurism, tote-bags, steampunk, victorian, neo-victorian",TRUE,Size,Default,38.99,,100,https://images.pexels.com/photos/6311387/pexels-photo-6311387.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Neo-Victorian Carryall Tote Bag,A perfect blend of Victorian elegance and modern functionality in this steampunk tote bag
cogwheel-skull-design,Cogwheel Skull Design,"<p>Protect your phone with this edgy mechanical skull design</p>",RoboInk,Phone Cases,"skulls, phone-cases, steampunk, mechanical, edgy",TRUE,Size,Default,38.99,,100,https://images.pexels.com/photos/6045033/pexels-photo-6045033.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Cogwheel Skull Phone Case,Protect your phone with this edgy mechanical skull steampunk design
brass-bone-phone-case,Brass Bone Phone Case,"<p>Unique brass and bone themed phone case with steampunk aesthetics</p>",RoboInk,Phone Cases,"skulls, phone-cases, steampunk, brass, bone",TRUE,Size,Default,35.99,,100,https://images.pexels.com/photos/6045215/pexels-photo-6045215.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Brass Bone Steampunk Phone Case,Unique brass and bone themed phone case with intricate steampunk aesthetics
victorian-time-machine,Victorian Time Machine,"<p>A stunning canvas print of an elaborate Victorian time machine</p>",RoboInk,Canvas Prints,"gadgetry-gizmos, canvas-prints, steampunk, victorian, time-machine",TRUE,Size,Default,44.99,,100,https://images.pexels.com/photos/6045241/pexels-photo-6045241.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Victorian Time Machine Canvas Print,A stunning canvas print of an elaborate Victorian time machine steampunk artwork
brass-telescope-observatory,Brass Telescope Observatory,"<p>Transport yourself to a brass telescope observatory with this detailed canvas print</p>",RoboInk,Canvas Prints,"gadgetry-gizmos, canvas-prints, steampunk, telescope, brass",TRUE,Size,Default,49.99,,100,https://images.pexels.com/photos/6045020/pexels-photo-6045020.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Brass Telescope Observatory Canvas,Transport yourself to a brass telescope observatory with this detailed steampunk canvas print
victorian-gentleman-portrait,Victorian Gentleman Portrait,"<p>A distinguished Victorian gentleman design for the modern steampunk enthusiast</p>",RoboInk,Tee Shirts,"victorian-vanguard, tee-shirts, steampunk, victorian, featured",TRUE,Size,Default,32.99,,100,https://images.pexels.com/photos/6045028/pexels-photo-6045028.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Victorian Gentleman Portrait T-Shirt,A distinguished Victorian gentleman design for the modern steampunk enthusiast
lady-mechanica,Lady Mechanica,"<p>Elegant and powerful Lady Mechanica design on a premium hoodie</p>",RoboInk,Hoodies,"victorian-vanguard, hoodies, steampunk, victorian, lady",TRUE,Size,Default,45.99,,100,https://images.pexels.com/photos/6045033/pexels-photo-6045033.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Lady Mechanica Steampunk Hoodie,Elegant and powerful Lady Mechanica design on a premium quality hoodie
victorian-corset-design,Victorian Corset Design,"<p>Victorian corset-inspired design on a comfortable tank top</p>",RoboInk,Tank Tops,"victorian-vanguard, tank-tops, steampunk, victorian, corset",TRUE,Size,Default,36.99,,100,https://images.pexels.com/photos/6311387/pexels-photo-6311387.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Victorian Corset Design Tank Top,Victorian corset-inspired steampunk design on a comfortable tank top
mechanical-butler-sweatshirt,Mechanical Butler Sweatshirt,"<p>Stay warm with this sophisticated mechanical butler design sweatshirt</p>",RoboInk,Sweatshirts,"robots, sweatshirts, steampunk, mechanical, butler",TRUE,Size,Default,48.99,,100,https://images.pexels.com/photos/6045031/pexels-photo-6045031.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Mechanical Butler Sweatshirt,Stay warm with this sophisticated mechanical butler steampunk design sweatshirt
steam-bot-water-bottle,Steam Bot Water Bottle,"<p>Stay hydrated with this steam bot themed water bottle</p>",RoboInk,Water Bottles,"robots, water-bottles, steampunk, steam-bot",TRUE,Size,Default,24.99,,100,https://images.pexels.com/photos/6045215/pexels-photo-6045215.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Steam Bot Water Bottle,Stay hydrated with this steam bot themed steampunk water bottle
gear-head-beanie,Gear Head Beanie,"<p>Keep warm with this gear-themed beanie perfect for steampunk enthusiasts</p>",RoboInk,Beanies,"robots, beanies, steampunk, gear, headwear",TRUE,Size,Default,28.99,,100,https://images.pexels.com/photos/6045242/pexels-photo-6045242.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Gear Head Steampunk Beanie,Keep warm with this gear-themed beanie perfect for steampunk enthusiasts
