Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Price,Variant Compare At Price,Image Src,SEO Title,SEO Description,Variant SKU,Variant Barcode,Variant Inventory Policy,Variant Fulfillment Service
victorian-clockwork-automaton,Victorian Clockwork Automaton,<p>A stunning Victorian-era automaton design featuring intricate gears and brass mechanisms</p><p>This design is digitally printed using eco-friendly inks on high-quality materials. Made-to-order to reduce waste.</p>,RoboInk,Tee Shirts,"robots, tee-shirts, steampunk, victorian, featured, printful",TRUE,Size,S,Color,Black,,,35.99,,https://images.pexels.com/photos/6311387/pexels-photo-6311387.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Victorian Clockwork Automaton - Steampunk T-Shirt,A stunning Victorian-era automaton design featuring intricate gears and brass mechanisms on a premium quality t-shirt,VCA-S-BLACK,,continue,printful
victorian-clockwork-automaton,Victorian Clockwork Automaton,<p>A stunning Victorian-era automaton design featuring intricate gears and brass mechanisms</p><p>This design is digitally printed using eco-friendly inks on high-quality materials. Made-to-order to reduce waste.</p>,RoboInk,Tee Shirts,"robots, tee-shirts, steampunk, victorian, featured, printful",TRUE,Size,M,Color,Black,,,35.99,,https://images.pexels.com/photos/6311387/pexels-photo-6311387.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Victorian Clockwork Automaton - Steampunk T-Shirt,A stunning Victorian-era automaton design featuring intricate gears and brass mechanisms on a premium quality t-shirt,VCA-M-BLACK,,continue,printful
victorian-clockwork-automaton,Victorian Clockwork Automaton,<p>A stunning Victorian-era automaton design featuring intricate gears and brass mechanisms</p><p>This design is digitally printed using eco-friendly inks on high-quality materials. Made-to-order to reduce waste.</p>,RoboInk,Tee Shirts,"robots, tee-shirts, steampunk, victorian, featured, printful",TRUE,Size,L,Color,Black,,,35.99,,https://images.pexels.com/photos/6311387/pexels-photo-6311387.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Victorian Clockwork Automaton - Steampunk T-Shirt,A stunning Victorian-era automaton design featuring intricate gears and brass mechanisms on a premium quality t-shirt,VCA-L-BLACK,,continue,printful
victorian-clockwork-automaton,Victorian Clockwork Automaton,<p>A stunning Victorian-era automaton design featuring intricate gears and brass mechanisms</p><p>This design is digitally printed using eco-friendly inks on high-quality materials. Made-to-order to reduce waste.</p>,RoboInk,Tee Shirts,"robots, tee-shirts, steampunk, victorian, featured, printful",TRUE,Size,XL,Color,Black,,,35.99,,https://images.pexels.com/photos/6311387/pexels-photo-6311387.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Victorian Clockwork Automaton - Steampunk T-Shirt,A stunning Victorian-era automaton design featuring intricate gears and brass mechanisms on a premium quality t-shirt,VCA-XL-BLACK,,continue,printful
victorian-clockwork-automaton,Victorian Clockwork Automaton,<p>A stunning Victorian-era automaton design featuring intricate gears and brass mechanisms</p><p>This design is digitally printed using eco-friendly inks on high-quality materials. Made-to-order to reduce waste.</p>,RoboInk,Tee Shirts,"robots, tee-shirts, steampunk, victorian, featured, printful",TRUE,Size,2XL,Color,Black,,,37.99,,https://images.pexels.com/photos/6311387/pexels-photo-6311387.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Victorian Clockwork Automaton - Steampunk T-Shirt,A stunning Victorian-era automaton design featuring intricate gears and brass mechanisms on a premium quality t-shirt,VCA-2XL-BLACK,,continue,printful
victorian-clockwork-automaton,Victorian Clockwork Automaton,<p>A stunning Victorian-era automaton design featuring intricate gears and brass mechanisms</p><p>This design is digitally printed using eco-friendly inks on high-quality materials. Made-to-order to reduce waste.</p>,RoboInk,Tee Shirts,"robots, tee-shirts, steampunk, victorian, featured, printful",TRUE,Size,S,Color,Navy,,,35.99,,https://images.pexels.com/photos/6311387/pexels-photo-6311387.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Victorian Clockwork Automaton - Steampunk T-Shirt,A stunning Victorian-era automaton design featuring intricate gears and brass mechanisms on a premium quality t-shirt,VCA-S-NAVY,,continue,printful
victorian-clockwork-automaton,Victorian Clockwork Automaton,<p>A stunning Victorian-era automaton design featuring intricate gears and brass mechanisms</p><p>This design is digitally printed using eco-friendly inks on high-quality materials. Made-to-order to reduce waste.</p>,RoboInk,Tee Shirts,"robots, tee-shirts, steampunk, victorian, featured, printful",TRUE,Size,M,Color,Navy,,,35.99,,https://images.pexels.com/photos/6311387/pexels-photo-6311387.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Victorian Clockwork Automaton - Steampunk T-Shirt,A stunning Victorian-era automaton design featuring intricate gears and brass mechanisms on a premium quality t-shirt,VCA-M-NAVY,,continue,printful
victorian-clockwork-automaton,Victorian Clockwork Automaton,<p>A stunning Victorian-era automaton design featuring intricate gears and brass mechanisms</p><p>This design is digitally printed using eco-friendly inks on high-quality materials. Made-to-order to reduce waste.</p>,RoboInk,Tee Shirts,"robots, tee-shirts, steampunk, victorian, featured, printful",TRUE,Size,L,Color,Navy,,,35.99,,https://images.pexels.com/photos/6311387/pexels-photo-6311387.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Victorian Clockwork Automaton - Steampunk T-Shirt,A stunning Victorian-era automaton design featuring intricate gears and brass mechanisms on a premium quality t-shirt,VCA-L-NAVY,,continue,printful
victorian-clockwork-automaton,Victorian Clockwork Automaton,<p>A stunning Victorian-era automaton design featuring intricate gears and brass mechanisms</p><p>This design is digitally printed using eco-friendly inks on high-quality materials. Made-to-order to reduce waste.</p>,RoboInk,Tee Shirts,"robots, tee-shirts, steampunk, victorian, featured, printful",TRUE,Size,XL,Color,Navy,,,35.99,,https://images.pexels.com/photos/6311387/pexels-photo-6311387.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Victorian Clockwork Automaton - Steampunk T-Shirt,A stunning Victorian-era automaton design featuring intricate gears and brass mechanisms on a premium quality t-shirt,VCA-XL-NAVY,,continue,printful
victorian-clockwork-automaton,Victorian Clockwork Automaton,<p>A stunning Victorian-era automaton design featuring intricate gears and brass mechanisms</p><p>This design is digitally printed using eco-friendly inks on high-quality materials. Made-to-order to reduce waste.</p>,RoboInk,Tee Shirts,"robots, tee-shirts, steampunk, victorian, featured, printful",TRUE,Size,2XL,Color,Navy,,,37.99,,https://images.pexels.com/photos/6311387/pexels-photo-6311387.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Victorian Clockwork Automaton - Steampunk T-Shirt,A stunning Victorian-era automaton design featuring intricate gears and brass mechanisms on a premium quality t-shirt,VCA-2XL-NAVY,,continue,printful
